MFCC,#1,#2,#3,#4,#5,Maximum,Average
13,78.0,78.0,77.0,74.0,78.0,78.0,77.0
20,76.0,73.5,71.5,73.0,72.0,76.0,73.2
30,79.0,75.5,81.0,74.5,75.5,81.0,77.1
40,78.0,83.0,80.0,77.0,79.0,83.0,79.4
50,83.0,81.0,75.0,77.5,78.0,83.0,78.9
