Model,#1,#2,#3,#4,#5,Maximum,Average
1LSTM,72.5,64.0,74.0,66.0,63.0,74.0,68.9
2LSTM,67.0,68.0,70.0,66.5,66.5,70.0,68.0
3LSTM,69.5,71.0,67.5,66.0,67.5,71.0,68.8
4LSTM,73.0,68.5,68.5,71.5,68.5,73.0,70.5
5LSTM,72.0,72.0,68.5,73.0,74.0,74.0,72.3
6LSTM,72.0,72.5,64.5,64.0,66.0,72.0,68.5
7LSTM,74.0,64.5,63.5,60.5,65.0,74.0,66.9
RES7LSTM,67.5,69.0,68.0,64.5,71.5,71.5,68.7
