Windowsize,#1,#2,#3,#4,#5,Maximum,Average,NFFT
0.05,56.5,57.5,57.5,58.0,55.0,57.5,56.9,4096
0.1,60.0,63.0,61.5,62.5,62.5,63.0,61.9,8192
0.2,62.5,66.5,63.0,62.5,64.0,66.5,63.7,16384
0.4,68.0,66.0,66.0,67.5,66.0,68.0,66.7,32768
0.6,70.0,69.0,69.0,68.5,70.0,70.0,69.3,32768
0.8,72.0,72.0,68.5,73.0,74.0,74.0,71.9,65536
1.0,73.0,69.5,64.0,69.5,70.0,73.0,69.2,65536
1.2,74.5,70.0,70.5,70.5,70.0,74.5,71.1,65536
1.4,67.0,67.0,72.5,68.5,69.5,72.5,68.9,131072
1.6,69.0,65.5,68.5,67.0,69.0,69.0,67.8,131072
